时间,点1温度,点2温度,点3温度,点4温度,点5温度,点6温度,点7温度,点8温度
2019/3/12 12:15:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:16:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:17:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:18:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:24,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:19:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:20:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:21:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:22:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:23:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:24:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:25:19,12.5,13.5,15.0,18,20,21,25,60,85
